	Energy	Entropy	Label
43987	0.19215851875	2.626905207977323	F
43988	0.1561646125	2.8137364811198324	F
43989	0.15085538625	2.8509517635924815	F
43990	0.1717747	2.7321840078586224	F
43991	0.1681207025	2.7485566884754578	F
43992	0.14766373500000002	2.8673838025872116	F
43993	0.16990539375	2.73869820175452	F
43994	0.19993631	2.592057499330317	F
43995	0.15592257250000002	2.817317101548863	F
43996	0.17173696499999996	2.739001771213518	F
43997	0.20894802125	2.5553537892841067	F
43998	0.15776695000000002	2.804381191042594	F
43999	0.17462084749999998	2.725556938735447	F
44000	0.17356322124999998	2.726158455887031	F
44001	0.16966702874999998	2.7416064674799205	F
44002	0.1774659775	2.7188552659792355	F
44003	0.15475031625000002	2.821745927223886	F
44004	0.1736495475	2.7294715336155564	F
44005	0.15685828125	2.809766266105339	F
44006	0.1544268425	2.8253854150928928	F
44007	0.15557711	2.818127173815248	F
44008	0.1801921575	2.6858709092717175	F
44009	0.15046296625	2.8527044827420935	F
44010	0.15674630375	2.811615124704245	F
44011	0.156293895	2.816445907367471	F
44012	0.260986655	2.3610935574823664	F
44013	0.15020035874999998	2.8522632397512906	F
44014	0.1570784125	2.808920134885212	F
44015	0.17314324874999998	2.7289612534863723	F
44016	0.15596893	2.814869192052054	F
44017	0.2591030575	2.3712809060851985	F
44018	0.175363045	2.718920551050191	F
44019	0.1546032625	2.823301470594088	F
44020	0.15417652125000003	2.8270968620556705	F
44021	0.1710398875	2.7313239813412986	F
44022	0.20491499375000002	2.5720606924115605	F
44023	0.15751496625	2.8058449022387606	F
44024	0.21572736875	2.536358637429479	F
44025	0.14963171375	2.857240012399675	F
44026	0.15673489624999998	2.8115765439879437	F
44027	0.25100580250000004	2.412843305285194	F
44028	0.17436511500000001	2.730085233551491	F
44029	0.17761472249999996	2.705457246669459	F
44030	0.16867735374999998	2.74144616498955	F
44031	0.19833508250000004	2.597665828179876	F
44032	0.17752468750000003	2.720106726472535	F
44033	0.1512775675	2.8479868638894965	F
44034	0.17606069875000002	2.7241763397601164	F
44035	0.155361055	2.8203852854130727	F
44036	0.15579628625	2.8184501803601463	F
44037	0.15446749499999998	2.8256827929535504	F
44038	0.17437101749999998	2.7294248769978706	F
44039	0.17046131125000002	2.7306372342694143	F
44040	0.171941725	2.7295543765906656	F
44041	0.15710968000000003	2.811777573877277	F
44042	0.17415369750000004	2.7250808186477986	F
44043	0.19957065375	2.596776277446046	F
44044	0.17023948499999997	2.7343547400288686	F
44045	0.156151405	2.8166732076554366	F
44046	0.14970050875	2.8569732309514144	F
44047	0.15538997000000002	2.8220387648339713	F
44048	0.17146498375000002	2.7322402379814523	F
44049	0.152951095	2.8356123765804524	F
44050	0.1763976025	2.724329692754348	F
44051	0.15419872	2.8251797871468	F
44052	0.17311767875	2.7266812502988214	F
44053	0.15693537	2.810460845610776	F
44054	0.15513689875	2.8224479892420344	F
44055	0.19482473499999997	2.6227284522032743	F
44056	0.17168521875	2.7293551041158306	F
44057	0.17131036875	2.7311028554282286	F
44058	0.1560968325	2.81222836261467	F
44059	0.15471288875	2.8249232800541275	F
44060	0.1562162775	2.8149425997591315	F
44061	0.15088761125	2.857286956285037	F
44062	0.16781167624999999	2.744958113651312	F
44063	0.15162911625	2.8529134477581195	F
44064	0.17216798	2.725948863009129	F
44065	0.1503211225	2.8533048671841135	F
44066	0.17206713125	2.732589448239328	F
44067	0.17198519750000002	2.7302014008862994	F
44068	0.17186661749999999	2.731593667074243	F
44069	0.14891713	2.862272216438954	F
44070	0.1495240275	2.8555113797014844	F
44071	0.16934730125	2.740515131438059	F
44072	0.17388012874999997	2.7283718765680662	F
44073	0.16997143374999996	2.739016930356338	F
44074	0.15326452875000002	2.8311218711431385	F
44075	0.168364695	2.7411657904401583	F
44076	0.15602410625000002	2.813591451513223	F
44077	0.15111428	2.8532963258245303	F
44078	0.16981956374999999	2.742000569912417	F
44079	0.1551659475	2.8197856464273316	F
44080	0.15619900125000002	2.8141960871699334	F
44081	0.15704583875	2.80709829890127	F
44082	0.172344975	2.729047620980558	F
44083	0.2592496675	2.3759750253014653	F
44084	0.16951412124999998	2.7412200208451183	F
